epoch,train_loss,val_loss,val_accuracy
1,0.8282289698382574,0.3916878829363881,0.7527075812274369
2,0.18849535985909913,0.13344754015065272,0.9404332129963899
3,0.08434688428561,0.09207187436978309,0.9693140794223827
4,0.04814499223824489,0.062264940583748936,0.9783393501805054
5,0.030454106706950906,0.058832306240009485,0.9909747292418772
6,0.03267856537993593,0.0301438588850765,0.9891696750902527
7,0.02014877378497425,0.0329417117773841,0.9909747292418772
8,0.017043429011074262,0.01840304491859911,0.9945848375451264
9,0.011522852720320729,0.01831456660108123,0.9981949458483754
10,0.011578008137207734,0.015423744916915894,0.9981949458483754
11,0.008605929179071131,0.015617366382576499,0.9981949458483754
12,0.008761359448568286,0.01271669397177679,0.9981949458483754
13,0.007130607387259346,0.010713892656005246,0.9981949458483754
14,0.005660676111911914,0.013198441613990046,0.9981949458483754
15,0.005930199358648809,0.010423599947445659,0.9981949458483754
16,0.005065452094067388,0.01065390408442554,0.9963898916967509
17,0.005455169433318066,0.014706649047588184,0.9981949458483754
18,0.004971542825904115,0.012386000516827787,0.9981949458483754
19,0.004841123551165546,0.013163565795882085,0.9981949458483754
20,0.005063881860915653,0.013923215683186527,0.9981949458483754
