epoch,train_loss,val_loss,val_accuracy
1,3.103385526742508,1.6733713054656982,0.06
2,1.8705373166212396,1.385912036895752,0.08
3,1.4898036415897198,1.4028983783721924,0.1
4,1.586893124366874,1.4018183755874634,0.1
5,1.3732880691983806,1.2391695117950439,0.1
6,1.3387807020500524,1.3069235229492187,0.14
7,1.1459502177451975,1.241473822593689,0.14
8,1.0501884061898759,0.9439043641090393,0.16
9,0.8736188803146134,0.9367218518257141,0.16
10,0.8148296697815852,0.855876829624176,0.26
11,0.7244255791849165,0.8612908720970154,0.26
12,0.632400228016412,0.7330405592918396,0.26
13,0.5389490768091002,0.6790835571289062,0.28
14,0.48757641351045067,0.7091629314422607,0.4
15,0.424366915403907,0.6297606325149536,0.44
16,0.39961078985413506,0.5988750529289245,0.48
17,0.3637513545022082,0.5812930035591125,0.42
18,0.34204198709174766,0.5843082118034363,0.44
19,0.3368285556337727,0.596398229598999,0.44
20,0.30543656847370204,0.5706728267669677,0.46
